entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
11/5/18,20+,105,105
11/6/18,20+,202,202
11/7/18,20+,138,137
11/8/18,20+,307,299
11/9/18,20+,371,370
11/10/18,20+,608,606
11/11/18,20+,575,570
11/12/18,20+,692,689
11/13/18,20+,362,354
11/14/18,20+,439,435
11/15/18,20+,577,566
11/16/18,20+,839,825
11/17/18,20+,1008,994
11/18/18,20+,1581,1564
11/19/18,20+,1989,1978
11/20/18,20+,1234,1233
11/21/18,20+,1466,1445
11/22/18,20+,1758,1737
11/23/18,20+,1411,1398
11/24/18,20+,1161,1145
11/25/18,20+,1245,1234
11/26/18,20+,2424,2407
11/27/18,20+,1035,1034
11/28/18,20+,1276,1269
11/29/18,20+,1374,1368
11/30/18,20+,1805,1781
12/1/18,20+,1991,1984
12/2/18,20+,2078,2055
12/3/18,20+,3317,3298
12/4/18,20+,1511,1498
12/5/18,20+,1885,1880
12/6/18,20+,1963,1945
12/7/18,20+,2254,2233
12/8/18,20+,2408,2376
12/9/18,20+,2222,2214
12/10/18,20+,3509,3487
12/11/18,20+,1555,1543
12/12/18,20+,1763,1758
12/13/18,20+,1840,1816
12/14/18,20+,2425,2410
12/15/18,20+,2840,2819
12/16/18,20+,3613,3585
12/17/18,20+,4444,4412
12/18/18,20+,2819,2800
12/19/18,20+,3466,3429
12/20/18,20+,3381,3342
12/21/18,20+,4319,4257
12/22/18,20+,5573,5519
12/23/18,20+,7193,7110
12/24/18,20+,8323,8226
12/25/18,20+,6034,5997
12/26/18,20+,6551,6486
12/27/18,20+,8463,8347
12/28/18,20+,7274,7167
12/29/18,20+,6610,6554
12/30/18,20+,7724,7649
12/31/18,20+,9218,9104
1/1/19,20+,3904,3880
1/2/19,20+,5585,5503
1/3/19,20+,4077,4039
1/4/19,20+,3090,3077
1/5/19,20+,2689,2663
1/6/19,20+,3813,3772
1/7/19,20+,3779,3759
1/8/19,20+,3182,3163
1/9/19,20+,2361,2336
1/10/19,20+,3009,2976
1/11/19,20+,3134,3096
1/12/19,20+,3282,3262
1/13/19,20+,3110,3101
1/14/19,20+,5227,5200
1/15/19,20+,2606,2589
1/16/19,20+,2512,2490
1/17/19,20+,3761,3739
1/18/19,20+,4552,4504
1/19/19,20+,5407,5367
1/20/19,20+,4594,4558
1/21/19,20+,5689,5627
1/22/19,20+,5498,5462
1/23/19,20+,3346,3312
1/24/19,20+,3775,3739
1/25/19,20+,4379,4318
1/26/19,20+,4827,4803
1/27/19,20+,4711,4680
1/28/19,20+,5977,5928
1/29/19,20+,3585,3545
1/30/19,20+,3027,2992
1/31/19,20+,3441,3399
2/1/19,20+,4545,4490
2/2/19,20+,5212,5154
2/3/19,20+,5092,5056
2/4/19,20+,6913,6845
2/5/19,20+,4539,4501
2/6/19,20+,3869,3844
2/7/19,20+,4302,4256
2/8/19,20+,4637,4592
2/9/19,20+,5086,5062
2/10/19,20+,5224,5190
2/11/19,20+,6816,6761
2/12/19,20+,4002,3954
2/13/19,20+,4875,4836
2/14/19,20+,6186,6140
2/15/19,20+,5928,5882
2/16/19,20+,5660,5618
2/17/19,20+,6580,6533
2/18/19,20+,8142,8093
2/19/19,20+,9016,8917
2/20/19,20+,5917,5873
2/21/19,20+,6323,6265
2/22/19,20+,6510,6460
2/23/19,20+,6331,6291
2/24/19,20+,6230,6148
2/25/19,20+,8440,8373
2/26/19,20+,5462,5404
2/27/19,20+,4749,4700
2/28/19,20+,5445,5392
3/1/19,20+,5588,5520
3/2/19,20+,6050,5975
3/3/19,20+,6913,6869
3/4/19,20+,7142,7089
3/5/19,20+,5389,5334
3/6/19,20+,4456,4388
3/7/19,20+,4473,4422
3/8/19,20+,3758,3719
3/9/19,20+,4471,4427
3/10/19,20+,7837,7798
3/11/19,20+,8851,8754
3/12/19,20+,7236,7176
3/13/19,20+,5024,5000
3/14/19,20+,5259,5208
3/15/19,20+,4377,4314
3/16/19,20+,4696,4647
3/17/19,20+,7591,7516
3/18/19,20+,8510,8434
3/19/19,20+,5510,5460
3/20/19,20+,4798,4738
3/21/19,20+,4949,4901
3/22/19,20+,5354,5303
3/23/19,20+,5170,5118
3/24/19,20+,9047,8963
3/25/19,20+,11274,11190
3/26/19,20+,7257,7185
3/27/19,20+,5528,5490
3/28/19,20+,5719,5640
3/29/19,20+,5644,5600
3/30/19,20+,4891,4853
3/31/19,20+,9328,9227
4/1/19,20+,10671,10590
4/2/19,20+,6643,6570
4/3/19,20+,5309,5277
4/4/19,20+,5849,5799
4/5/19,20+,4646,4605
4/6/19,20+,4058,4029
4/7/19,20+,6727,6657
4/8/19,20+,7220,7180
4/9/19,20+,4997,4959
4/10/19,20+,4453,4415
4/11/19,20+,5650,5578
4/12/19,20+,6170,6110
4/13/19,20+,6882,6806
4/14/19,20+,9728,9675
4/15/19,20+,11974,11878
4/16/19,20+,8537,8444
4/17/19,20+,7132,7054
4/18/19,20+,7405,7323
4/19/19,20+,6754,6701
4/20/19,20+,6908,6865
4/21/19,20+,6994,6949
4/22/19,20+,10195,10106
4/23/19,20+,7534,7484
4/24/19,20+,5513,5463
4/25/19,20+,4960,4923
4/26/19,20+,4662,4622
4/27/19,20+,5209,5153
4/28/19,20+,6860,6801
4/29/19,20+,8691,8629
4/30/19,20+,5141,5091
5/1/19,20+,4545,4503
5/2/19,20+,4744,4673
5/3/19,20+,4557,4505
5/4/19,20+,5280,5232
5/5/19,20+,6758,6698
5/6/19,20+,10378,10301
5/7/19,20+,6881,6793
5/8/19,20+,5347,5283
5/9/19,20+,4299,4276
5/10/19,20+,4172,4140
5/11/19,20+,5026,4986
5/12/19,20+,6556,6490
5/13/19,20+,9969,9864
5/14/19,20+,6954,6912
5/15/19,20+,5133,5097
5/16/19,20+,5078,5014
5/17/19,20+,4694,4664
5/18/19,20+,5536,5497
5/19/19,20+,6497,6408
5/20/19,20+,8333,8266
5/21/19,20+,4780,4724
5/22/19,20+,4005,3974
5/23/19,20+,4558,4504
5/24/19,20+,4333,4279
5/25/19,20+,6631,6566
5/26/19,20+,7256,7195
5/27/19,20+,8742,8687
5/28/19,20+,8066,7999
5/29/19,20+,5123,5074
5/30/19,20+,4762,4709
5/31/19,20+,4578,4553
6/1/19,20+,6057,5996
6/2/19,20+,7767,7669
6/3/19,20+,9169,9083
6/4/19,20+,6281,6219
6/5/19,20+,5061,5017
6/6/19,20+,5127,5054
6/7/19,20+,5101,5049
6/8/19,20+,5500,5446
6/9/19,20+,7489,7403
6/10/19,20+,9572,9488
6/11/19,20+,6842,6775
6/12/19,20+,5144,5074
6/13/19,20+,4779,4723
6/14/19,20+,5038,4982
6/15/19,20+,6056,6001
6/16/19,20+,7295,7213
6/17/19,20+,9178,9106
6/18/19,20+,7098,6995
6/19/19,20+,5453,5403
6/20/19,20+,5284,5251
6/21/19,20+,5142,5120
6/22/19,20+,6199,6154
6/23/19,20+,7543,7491
6/24/19,20+,9784,9682
6/25/19,20+,7581,7539
6/26/19,20+,5934,5870
6/27/19,20+,5426,5380
6/28/19,20+,5090,5026
6/29/19,20+,5783,5697
6/30/19,20+,8779,8687
7/1/19,20+,8181,8120
7/2/19,20+,6637,6457
7/3/19,20+,6154,6111
7/4/19,20+,5789,5743
7/5/19,20+,5879,5845
7/6/19,20+,5238,5176
7/7/19,20+,7897,7814
7/8/19,20+,9498,9403
7/9/19,20+,7825,7538
7/10/19,20+,6217,5927
7/11/19,20+,5441,5363
7/12/19,20+,5131,5089
7/13/19,20+,5698,5649
7/14/19,20+,6355,6289